Timestamp,X-Axis,Y-Axis,Z-Axis
26.2,-72,-337,-511
26.3,-512,-263,494
26.4,-54,104,254
26.5,-157,42,-50
26.6,-61,-37,-59
26.7,-512,-449,157
26.8,-203,-233,123
26.9,-30,-19,35
27.0,-144,-85,91
27.1,-275,-94,-40
27.2,-35,-38,54
27.3,-162,98,268
27.4,-512,-400,189
27.5,-326,-233,-238
27.6,-297,-125,-394
27.7,75,-8,-217
27.8,-27,-61,47
27.9,-24,16,26
28.0,-480,-239,18
28.1,-512,-217,128
28.2,-301,4,59
28.3,84,-63,3
28.4,-317,-158,-89
28.5,12,-47,-45
28.6,-107,30,140
28.7,-512,-46,509
28.8,-234,-234,-512
28.9,-240,-74,-160
29.0,-135,63,-8
29.1,-62,2,1
29.2,26,-57,-78
29.3,-512,-281,-262
29.4,-483,-122,-111
29.5,101,-30,-13
29.6,-512,-200,116
29.7,-111,-99,-19
29.8,-114,-69,23
29.9,-237,68,306
