Timestamp,X-Axis,Y-Axis,Z-Axis
27.7,1,5,229
27.8,1,4,229
27.9,1,6,230
28.0,1,5,228
28.1,1,5,226
28.2,0,5,227
28.3,1,5,229
28.4,1,4,229
28.5,1,6,228
28.6,2,4,227
28.7,2,5,228
28.8,1,6,222
28.9,1,4,228
29.0,1,4,227
29.1,1,5,228
29.2,1,4,227
29.3,1,6,230
29.4,2,4,229
29.5,2,5,228
29.6,1,4,229
29.7,1,5,229
29.8,1,5,228
29.9,2,5,229
